Borough,Neighborhood,ID,Name,Likes,Rating,Tips
Bronx,Co-op City,58a9ca678ae363643f8827a2,Sangria Cafe,7.0,7.7,3.0
Bronx,Kingsbridge,4ca785a597c8a1cd7e577ba5,El Economico Restaurant,18.0,7.8,8.0
Bronx,Kingsbridge,50ea5611e4b044bdeead3ade,Q'Kachapa,16.0,7.3,6.0
Manhattan,Marble Hill,4ca785a597c8a1cd7e577ba5,El Economico Restaurant,18.0,7.8,8.0
Manhattan,Marble Hill,50ea5611e4b044bdeead3ade,Q'Kachapa,16.0,7.3,6.0
Manhattan,Marble Hill,0,0,0.0,0.0,0.0
Bronx,Norwood,4b7435aef964a52042cd2de3,Caribe Restaurant,13.0,6.2,8.0
Bronx,Norwood,4cdadbde958f236a337da903,El Presidente II,9.0,6.0,6.0
Bronx,Norwood,0,0,0.0,0.0,0.0
Bronx,Williamsbridge,0,0,0.0,0.0,0.0
Bronx,Baychester,4be2ecf6b02ec9b6a5064ec0,Caridad & Louie,66.0,8.2,27.0
Bronx,Baychester,58a9ca678ae363643f8827a2,Sangria Cafe,7.0,7.7,3.0
Bronx,Pelham Parkway,0,0,0.0,0.0,0.0
Bronx,City Island,0,0,0.0,0.0,0.0
Bronx,Bedford Park,4e4d0392bd413c4cc66dfde5,Shalon Restaurant,3.0,7.3,3.0
Bronx,Bedford Park,519aae54498ec1fda8c8ae81,La Rola Resturant,3.0,5.9,1.0
Bronx,University Heights,4c9fcdfc8afca09381840d16,Liberato,11.0,7.0,8.0
Bronx,University Heights,4c6c82f56af58cfac5248717,Elsa La Reina Del Chicharrón (Elsa The Queen Of Pork Rind),8.0,6.6,6.0
Bronx,University Heights,4cd21cee1ac7a1cd743b2392,El Nuevo Valle,5.0,6.4,4.0
Bronx,Morris Heights,4e39863dae60f589a5dc0dcb,Yoly Restaurant,5.0,7.5,3.0
Bronx,Morris Heights,4cd21cee1ac7a1cd743b2392,El Nuevo Valle,5.0,6.4,4.0
Bronx,Fordham,4cf9d4d12d80a14383df40d8,Kasike Mofongo House,13.0,7.4,6.0
Bronx,Fordham,4bb7b71998c7ef3bf03e3002,Three  Spanish  Restaurant,7.0,6.7,7.0
Bronx,Fordham,4e4d0392bd413c4cc66dfde5,Shalon Restaurant,3.0,7.3,3.0
Bronx,Fordham,4c9fcdfc8afca09381840d16,Liberato,11.0,7.0,8.0
Bronx,Fordham,4c6c82f56af58cfac5248717,Elsa La Reina Del Chicharrón (Elsa The Queen Of Pork Rind),8.0,6.6,6.0
Bronx,East Tremont,0,0,0.0,0.0,0.0
Bronx,East Tremont,0,0,0.0,0.0,0.0
Bronx,West Farms,0,0,0.0,0.0,0.0
Bronx,Melrose,4ba52d35f964a52002e838e3,El Valle Restaurant,12.0,8.0,9.0
Bronx,Mott Haven,4ba52d35f964a52002e838e3,El Valle Restaurant,12.0,8.0,9.0
Bronx,Port Morris,0,0,0.0,0.0,0.0
Bronx,Longwood,4c096282009a0f479bade7bf,El Valle,7.0,5.8,6.0
Bronx,Hunts Point,4c9ca8fc54c8a1cd9e057c4b,Randall Restaurant,5.0,7.1,2.0
Bronx,Morrisania,4c096282009a0f479bade7bf,El Valle,7.0,5.8,6.0
Bronx,Parkchester,4c8be9fa509e3704e0822e55,Brisas Express,9.0,8.7,6.0
Bronx,Parkchester,57c7456a498ef7478ef7fe87,Havana Café,12.0,8.4,1.0
Bronx,Parkchester,4b7738e5f964a5203a892ee3,La Cocina Boricua,34.0,7.8,21.0
Bronx,Parkchester,4eed3d759a52993fb7108490,Isla Verde Cafe & Express,48.0,8.2,14.0
Bronx,Parkchester,4c9d47ea46978cfa6244967f,Maestro's Caterers,48.0,5.9,18.0
Bronx,Parkchester,0,0,0.0,0.0,0.0
Bronx,Westchester Square,4b7738e5f964a5203a892ee3,La Cocina Boricua,34.0,7.8,21.0
Bronx,Westchester Square,4b68b130f964a52071872be3,Caridad  Restaurant,8.0,5.6,8.0
Bronx,Van Nest,4b8db810f964a5206a0a33e3,Cafe Colonial,42.0,7.2,33.0
